DT_DEBUT_MOIS,ID_REGN_ADMIN,CD_NATR_ACTE_JURDQ,NB_REQST
2019-05-01,"11","004",219
2019-05-01,"12","004",1568
2019-05-01,"13","004",1559
2019-05-01,"14","004",2213
2019-05-01,"15","004",3369
2019-05-01,"16","004",6992
2019-05-01,"17","004",956
2019-06-01,"01","004",678
2019-06-01,"02","004",1034
2019-06-01,"03","004",2956
2019-06-01,"04","004",841
2019-06-01,"05","004",1283
2019-06-01,"06","004",5401
2019-06-01,"07","004",1523
2019-06-01,"08","004",564
2019-06-01,"09","004",206
2019-06-01,"11","004",229
2019-06-01,"12","004",1609
2019-06-01,"13","004",1685
2019-06-01,"14","004",2305
2019-06-01,"15","004",3605
2019-06-01,"16","004",7457
2019-06-01,"17","004",950
2019-07-01,"01","004",507
2019-07-01,"02","004",881
2019-07-01,"03","004",2014
2019-07-01,"04","004",723
2019-07-01,"05","004",902
2019-07-01,"06","004",4356
2019-07-01,"07","004",1508
2019-07-01,"08","004",536
2019-07-01,"09","004",156
2019-07-01,"11","004",220
2019-07-01,"12","004",1181
2019-07-01,"13","004",1228
2019-07-01,"14","004",1566
2019-07-01,"15","004",2483
2019-07-01,"16","004",5163
2019-07-01,"17","004",620
2019-08-01,"01","004",434
2019-08-01,"02","004",711
2019-08-01,"03","004",1539
2019-08-01,"04","004",521
2019-08-01,"05","004",778
2019-08-01,"06","004",3861
2019-08-01,"07","004",1408
2019-08-01,"08","004",409
2019-08-01,"09","004",142
2019-08-01,"11","004",193
2019-08-01,"12","004",929
2019-08-01,"13","004",1099
2019-08-01,"14","004",1234
2019-08-01,"15","004",2094
2019-08-01,"16","004",4365
2019-08-01,"17","004",562
2019-09-01,"01","004",402
2019-09-01,"02","004",685
2019-09-01,"03","004",1547
2019-09-01,"04","004",590
2019-09-01,"05","004",739
2019-09-01,"06","004",3756
2019-09-01,"07","004",1199
2019-09-01,"08","004",410
2019-09-01,"09","004",107
2019-09-01,"11","004",203
2019-09-01,"12","004",923
2019-09-01,"13","004",1043
2019-09-01,"14","004",1311
2019-09-01,"15","004",2162
2019-09-01,"16","004",4071
2019-09-01,"17","004",594
2019-10-01,"01","004",441
2019-10-01,"02","004",718
2019-10-01,"03","004",1867
2019-10-01,"04","004",641
2019-10-01,"05","004",864
2019-10-01,"06","004",4267
2019-10-01,"07","004",1454
2019-10-01,"08","004",424
2019-10-01,"09","004",144
2019-10-01,"11","004",206
2019-10-01,"12","004",1137
2019-10-01,"13","004",1147
2019-10-01,"14","004",1578
2019-10-01,"15","004",2493
2019-10-01,"16","004",4798
2019-10-01,"17","004",677
2019-11-01,"01","004",398
2019-11-01,"02","004",641
2019-11-01,"03","004",1625
2019-11-01,"04","004",582
2019-11-01,"05","004",772
2019-11-01,"06","004",4108
2019-11-01,"07","004",1349
2019-11-01,"08","004",344
2019-11-01,"09","004",149
2019-11-01,"11","004",190
2019-11-01,"12","004",926
2019-11-01,"13","004",1048
2019-11-01,"14","004",1501
2019-11-01,"15","004",2416
2019-11-01,"16","004",4787
2019-11-01,"17","004",602
2019-12-01,"01","004",406
2019-12-01,"02","004",637
2019-12-01,"03","004",1572
2019-12-01,"04","004",524
2019-12-01,"05","004",704
2019-12-01,"06","004",3930
2019-12-01,"07","004",1092
2019-12-01,"08","004",334
2019-12-01,"09","004",110
2019-12-01,"11","004",157
2019-12-01,"12","004",863
2019-12-01,"13","004",914
2019-12-01,"14","004",1224
2019-12-01,"15","004",2031
2019-12-01,"16","004",3985
2019-12-01,"17","004",485
2020-01-01,"01","004",265
2020-01-01,"02","004",440
2020-01-01,"03","004",1153
2020-01-01,"04","004",445
2020-01-01,"05","004",595
2020-01-01,"06","004",3265
2020-01-01,"07","004",875
2020-01-01,"08","004",224
2020-01-01,"09","004",112
2020-01-01,"11","004",109
2020-01-01,"12","004",674
2020-01-01,"13","004",801
2020-01-01,"14","004",1057
2020-01-01,"15","004",1635
2020-01-01,"16","004",3373
2020-01-01,"17","004",419
2020-02-01,"01","004",291
2020-02-01,"02","004",486
2020-02-01,"03","004",1214
2020-02-01,"04","004",450
2020-02-01,"05","004",594
2020-02-01,"06","004",3361
2020-02-01,"07","004",842
2020-02-01,"08","004",229
2020-02-01,"09","004",92
2020-02-01,"11","004",124
2020-02-01,"12","004",707
2020-02-01,"13","004",861
2020-02-01,"14","004",1116
2020-02-01,"15","004",1770
2020-02-01,"16","004",3480
2020-02-01,"17","004",440
2020-03-01,"01","004",317
2020-03-01,"02","004",538
2020-03-01,"03","004",1548
2020-03-01,"04","004",482
2020-03-01,"05","004",664
2020-03-01,"06","004",3485
2020-03-01,"07","004",993
2020-03-01,"08","004",278
2020-03-01,"09","004",92
2020-03-01,"11","004",117
2020-03-01,"12","004",792
2020-03-01,"13","004",924
2020-03-01,"14","004",1181
2020-03-01,"15","004",1955
2020-03-01,"16","004",4090
2020-03-01,"17","004",539
2020-04-01,"01","004",375
2020-04-01,"02","004",634
2020-04-01,"03","004",1936
2020-04-01,"04","004",616
2020-04-01,"05","004",867
2020-04-01,"06","004",3817
2020-04-01,"07","004",1110
2020-04-01,"08","004",297
